passenger_id;age;flight_id;gender_id;travel_type_id;satisfaction_id;customer_type_id
1;13;1;1;1;1;1
2;25;2;1;2;1;2
3;26;3;2;2;2;1
4;25;4;2;2;1;1
5;61;5;1;2;2;1
6;26;6;2;1;1;1
7;47;7;1;1;1;1
8;52;8;2;2;2;1
9;41;9;2;2;1;1
10;20;10;1;2;1;2
11;24;11;2;2;1;2
12;12;12;2;1;1;1
13;53;13;1;2;1;1
14;33;14;1;1;2;1
15;26;15;2;1;1;1
16;13;16;1;2;1;2
17;26;17;2;2;2;1
18;41;18;1;2;2;1
19;45;19;2;2;2;1
20;38;1;1;1;1;1
21;9;20;1;2;1;1
22;17;21;2;1;1;1
23;43;22;2;1;1;1
24;58;23;2;1;1;1
25;23;24;2;2;2;2
26;57;25;1;1;1;1
27;33;26;2;2;2;1
28;49;27;2;2;2;1
29;36;28;2;2;1;1
30;22;29;1;1;1;1
31;31;30;2;2;2;1
32;15;31;2;2;1;2
33;35;32;2;2;2;1
34;67;33;2;1;1;1
35;37;11;1;2;1;2
36;40;34;2;2;1;1
37;34;35;2;2;1;2
38;40;36;1;1;1;1
39;47;37;2;1;2;1
40;41;38;1;2;1;2
41;39;39;1;2;2;1
42;25;40;2;2;1;2
43;41;41;1;2;2;1
44;38;42;2;2;2;1
45;50;1;2;2;2;1
46;29;43;1;2;2;1
47;22;34;2;1;1;1
48;13;44;2;2;1;1
49;54;45;1;2;2;1
50;21;46;1;1;1;1
51;28;47;1;2;1;1
52;27;48;1;2;2;1
53;69;49;2;2;2;1
54;35;50;1;1;1;1
55;60;51;2;1;1;1
56;45;52;2;2;2;1
57;57;53;2;2;2;1
58;40;54;1;2;2;1
59;38;12;2;2;1;2
60;23;55;1;2;1;2
61;39;56;1;2;1;2
62;52;57;2;2;2;1
63;25;58;1;2;1;2
64;48;59;2;2;2;1
65;59;60;2;2;2;1
66;25;61;1;2;2;1
67;38;62;1;1;1;1
68;46;63;1;2;2;1
69;50;12;1;2;1;1
70;38;64;2;2;2;1
71;53;65;2;2;2;1
72;30;66;1;2;1;1
73;39;67;1;2;1;2
74;66;68;1;1;1;1
75;45;69;1;1;1;1
76;25;70;2;2;2;2
77;52;71;1;2;1;1
78;64;72;1;1;2;1
79;50;56;2;2;1;2
80;41;73;2;2;1;2
81;26;74;1;2;2;1
82;25;75;2;2;1;2
83;44;73;2;2;1;2
84;21;51;2;2;2;2
85;47;76;1;2;2;1
86;31;77;1;2;2;1
87;57;78;2;1;1;1
88;44;79;1;1;1;1
89;45;80;1;2;2;1
90;13;81;1;2;1;2
91;60;82;1;1;2;1
92;41;83;2;2;2;2
93;30;84;1;2;1;1
94;51;85;2;2;2;1
95;61;86;2;2;2;1
96;32;87;2;2;2;1
97;39;88;2;1;1;1
98;19;89;1;1;1;1
99;15;90;2;1;1;1
100;42;35;2;2;2;2
101;16;91;2;1;1;1
102;19;92;1;2;2;1
103;29;93;2;1;1;1
104;27;94;2;2;1;2
105;22;95;1;2;2;2
106;15;96;2;1;1;1
107;11;97;1;2;1;2
108;34;98;2;1;1;1
109;26;99;2;2;1;2
110;26;100;2;1;1;1
111;53;101;1;2;2;1
112;36;102;1;2;1;1
113;32;103;1;2;1;1
114;20;104;1;1;1;1
115;35;105;2;2;2;1
116;15;2;1;1;1;1
117;52;79;1;1;1;1
118;45;106;1;2;2;1
119;24;107;2;2;1;2
120;46;108;2;2;1;1
121;26;109;1;2;1;2
122;28;110;1;2;1;1
123;11;111;1;1;1;1
124;45;112;1;2;2;1
125;62;113;1;1;1;1
126;34;114;2;2;2;1
127;51;12;1;2;2;1
128;58;115;2;2;1;1
129;22;116;1;1;1;1
130;8;117;1;2;2;1
131;26;118;1;2;2;2
132;22;119;2;1;1;1
133;21;120;2;2;1;1
134;31;121;1;2;1;1
135;44;122;2;1;1;1
136;27;123;1;2;2;1
137;47;124;2;2;2;1
138;24;125;1;2;1;1
139;67;126;1;2;1;1
140;32;127;1;2;2;1
141;58;128;2;1;2;1
142;12;129;1;1;1;1
143;56;130;2;2;1;1
144;58;131;2;1;1;1
145;24;132;1;2;1;2
146;68;133;1;1;1;1
147;46;134;1;2;2;1
148;43;135;1;2;2;1
149;55;136;2;2;2;1
150;54;137;2;1;1;1
151;42;138;2;2;2;1
152;47;139;2;2;1;1
153;29;140;2;2;1;2
154;36;141;2;2;1;1
155;50;142;2;2;2;1
156;31;143;2;1;1;1
157;13;9;1;1;1;1
158;24;55;1;2;1;2
159;60;144;2;2;2;1
160;42;145;2;1;1;1
161;57;146;2;2;2;1
162;42;147;2;2;2;1
163;20;51;1;2;2;2
164;51;25;2;1;1;1
165;45;148;1;2;2;1
166;26;149;2;2;2;1
167;26;150;1;2;1;2
168;24;151;2;1;1;1
169;49;152;1;2;2;1
170;17;153;2;2;2;1
171;39;154;2;2;2;1
172;49;155;2;2;2;1
173;48;137;2;1;1;1
174;52;156;1;2;2;1
175;25;157;2;2;2;1
176;16;158;2;2;1;1
177;58;159;1;2;2;1
178;8;160;1;2;1;2
179;42;161;1;2;2;1
180;52;162;2;2;1;1
181;47;163;2;2;2;1
182;69;164;2;1;1;1
183;47;165;2;1;1;1
184;41;166;2;2;2;1
185;40;167;2;1;1;1
186;56;168;2;1;1;1
187;41;169;1;2;2;1
188;40;170;2;2;1;1
189;12;75;1;1;1;1
190;59;68;1;1;2;1
191;21;171;2;1;1;1
192;12;172;1;1;1;1
193;31;173;1;2;1;1
194;37;174;2;1;1;1
195;38;175;2;1;2;1
